fr,dje
"L'éducation est le processus de transmission des connaissances, des compétences et des valeurs.","Karam ga ti bayray, hinne da alhorma kondayan proses."
"La religion, en tant qu'institution sociale, fournit un cadre de croyances et de pratiques.","Diina, sanda enstitüsyon sosyal, ga naanay da goy fonda no."
"L'économie, en tant qu'institution sociale, organise la production, la distribution et la consommation.","Ekonomi, sanda enstitüsyon sosyal, ga prodüksyon, distribüsyon da konsomasyon soola."
L'État est une institution politique qui exerce l'autorité sur un territoire défini.,Eta ga ti enstitüsyon politik ka ga otorite te nangu ka i daŋ boŋ.
La psychologie est l'étude scientifique de l'esprit et du comportement.,Psikoloji ga ti laakal da alhaali dondonyaŋ syantifik.
La psychologie du développement étudie les changements psychologiques tout au long de la vie.,Psikoloji di developpeman ga barmay psikolojik dondon fundi kul ra.
"La psychologie sociale examine comment les pensées, les sentiments et les comportements des individus sont influencés par la présence réelle ou imaginaire d'autrui.","Psikoloji sosyal ga guna mate ka borey miiley, i bine alhaali da i alhaali ga di boro fooyaŋ goro cimi wala miila do."
"La psychologie cognitive étudie les processus mentaux tels que la perception, l'attention, la mémoire et la résolution de problèmes.","Psikoloji kognitiv ga proses mental dondon sanda gunaa, laakal daŋyan, fonguyaŋ da problem fondey cebe."
La psychologie clinique se concentre sur le diagnostic et le traitement des troubles mentaux.,Psikoloji klinik ga laakal daŋ diyagnostik da laakal laala yayandi boŋ.
La neuropsychologie étudie la relation entre le cerveau et le comportement.,Nöropsikoloji ga alakaw boŋ laakalo da alhaali game dondon.
La perception est le processus d'organisation et d'interprétation des informations sensorielles.,Persepsyon ga ti information sensoriyel soolayan da i fahamandiyan proses.
L'attention est la concentration de la conscience sur des stimuli spécifiques.,Atansyon ga ti laakal daŋyan stimuli spesifik boŋ.
La mémoire est la capacité de stocker et de récupérer des informations.,Memwar ga ti hinne ka boro ma information margu k'i ye ka du.
L'apprentissage est un changement relativement permanent du comportement résultant de l'expérience.,Aprantisaj ga ti alhaali barmay ka ga gay ka ga fun esperiyans do.
Le conditionnement classique est un type d'apprentissage où un stimulus neutre est associé à un stimulus qui déclenche une réponse.,Kondisyonman klasik ga ti aprantisaj dumi fo ka stimulus nötr ga margu nda stimulus ka ga zaabi fo tunandi.
Le conditionnement opérant est un type d'apprentissage où le comportement est influencé par ses conséquences (récompenses ou punitions).,Kondisyonman operan ga ti aprantisaj dumi fo ka alhaali ga di a banda do (nooru wala ciiti).
"La motivation est le processus qui initie, guide et maintient les comportements orientés vers un objectif.","Motivasyon ga ti proses ka ga alhaali ka ga koy muraadu fo gaa sintin, k'a candi, k'a gaay."
"L'émotion est un état affectif complexe impliquant des expériences subjectives, des réponses physiologiques et des expressions comportementales.","Emosyon ga ti alhaali afektif sandi ka esperiyans sibjektif, zaabi fizyolojik da alhaali cabe go ra."
"La personnalité fait référence aux schémas caractéristiques de pensées, de sentiments et de comportements d'un individu.","Personalite ga boro fo miiley, a bine alhaali da a alhaali alhaali ka g'a cabe cabe."
"L'intelligence est la capacité mentale générale d'apprendre, de raisonner et de s'adapter.","Entelijans ga ti hinne mental kul ka boro ma dondon, a ma lasaabu te, a ma nga boŋ daŋandi."
"Les troubles mentaux sont des affections qui affectent la pensée, l'humeur ou le comportement et causent une détresse ou une déficience fonctionnelle.","Laakal laala ga ti alhaali ka ga miila, bine alhaali wala alhaali di, i ga bine haw wala goy si teyan te."
La psychothérapie est le traitement des troubles mentaux par des moyens psychologiques.,Psikoterapi ga ti laakal laala yayandi mate psikolojik do.
Les médicaments psychotropes sont utilisés pour traiter les symptômes des troubles mentaux.,"Yaaji psikotrop, i g'i goyandi zama i ma laakal laala sintomey yayandi."
Le stress est une réponse physiologique et psychologique à des exigences ou des menaces perçues.,Stres ga ti zaabi fizyolojik da psikolojik laamiya wala kankami ka i ga di se.
"Le bien-être psychologique implique un sentiment de satisfaction, d'épanouissement et de fonctionnement positif.","Byen-etr psikolojik ra, kaani bina, beeriyaŋ da goy pozitiv bine go no."
"La communication est le processus de transmission d'informations, d'idées ou de sentiments.","Komunikasyon ga ti information, miila wala bine alhaali kondayan proses."
La communication verbale utilise des mots parlés ou écrits.,Komunikasyon verbal ga sanney ka i ci wala ka i hantum goyandi.
"La communication non verbale comprend le langage corporel, les expressions faciales et le ton de la voix.","Komunikasyon non verbal ra, gaaham sanni, mo guna da jinde alhaali go no."
L'écoute active implique de prêter une attention totale et de comprendre le message de l'orateur.,"Maa kaani ra, boro ga laakal daŋ kul, a ga sanni teekwa mesaajo faham."
La persuasion est le processus visant à influencer les attitudes ou les comportements d'autrui.,Persüazyon ga ti proses ka muraado ga ti ka boro fooyaŋ alhaali wala i alhaali di.
La négociation est un processus de discussion visant à parvenir à un accord.,Negosiyasyon ga ti sanni teyan proses ka muraado ga ti ka akord fo to.
La résolution de conflits implique de trouver des solutions pacifiques aux désaccords.,"Rezolüsyon de konfli ra, boro ga fondey ka gonda lafiya gungun sanni si marguyaŋ se."
Le travail d'équipe est la collaboration entre individus pour atteindre un objectif commun.,Goy margante ga ti borey care margu zama i ma muraadu ka margu fo to.
Le leadership est la capacité d'influencer et de guider les autres.,Lidership ga ti hinne ka boro ma boro fooyaŋ di k'i candi.
La prise de décision en groupe peut être affectée par des phénomènes tels que la pensée de groupe.,Anniya teyan margu ra ga hin ka di fenomeney do sanda miila margu.
"La culture organisationnelle est l'ensemble des valeurs, des croyances et des normes partagées au sein d'une organisation.","Kültür organizasyonel ga ti alhorma, naanay da norm ka i ga fay organizasyon fo ra."
"La gestion des ressources humaines s'occupe du recrutement, de la formation et de la gestion des employés.","Jeston de resurs imen ga goykoy ceeciyan, i dondonandiyan da i daabu haggoy."
"Le marketing est le processus de création, de communication et de fourniture de valeur aux clients.","Marketing ga ti alhorma teyan, sanni teyan da a nooyan proses kliyan se."
La publicité est une forme de communication marketing payante.,Piblisite ga ti komunikasyon marketing ka i ga bana dumi fo.
"La marque est un nom, un terme, un signe, un symbole ou un dessin, ou une combinaison de ceux-ci, destiné à identifier les biens ou services d'un vendeur.","Mark ga ti maa, sanni, alam, senbol wala desin, wala i margu, ka muraado ga ti ka neerakwa fo hayey wala a servisey bay."
La segmentation du marché divise un marché en groupes distincts de consommateurs ayant des besoins ou des caractéristiques similaires.,Segmentasyon di marshe ga kaaso fay konsomatör margu ka fay ka gonda laamey wala alhaali ka hima care.
Le ciblage consiste à sélectionner un ou plusieurs segments de marché à desservir.,Siblaj ga ti kaaso segment fo wala ka bisa suubuyan zama i m'i servis.
Le positionnement est la manière dont un produit est perçu par les consommateurs par rapport aux produits concurrents.,Pozisyonman ga ti mate ka konsomatör ga hay fo di hay konkirantey boŋ.
La recherche marketing collecte et analyse des informations pour aider à la prise de décision marketing.,Reshersh marketing ga information margu k'i analyse te zama a ma faaba anniya marketing teyan se.
Le comportement du consommateur étudie comment les individus prennent des décisions d'achat.,Konporteman di konsomatör ga dondon mate ka borey ga dayyan anniya te.
"La finance est la gestion de l'argent, du crédit, des investissements et des autres actifs financiers.","Finans ga ti nooru, kredi, envestisman da aktif finansiye fooyaŋ daabu."
Un budget est un plan financier pour une période donnée.,Bijee ga ti plan finansiye waati fo se.
L'épargne est la mise de côté de l'argent pour une utilisation future.,Epany ga ti nooru daŋyan ganda zama i m'a goyandi suba.
L'investissement consiste à utiliser de l'argent pour générer des revenus futurs ou une plus-value.,Envestisman ga ti nooru goyandiyaŋ zama a ma duuyaŋ ka ga te suba wala alhorma tonton te.
Une action représente une part de propriété dans une entreprise.,Aksyon ga antrepriz fo bandatara kambe fo cabe.
Une obligation est un titre de créance émis par une entité (gouvernement ou entreprise) pour emprunter de l'argent.,Obligasyon ga ti deeni tira ka antite fo (gobernemant wala antrepriz) ga fatta zama a ma nooru gaayu.
Un fonds commun de placement regroupe l'argent de nombreux investisseurs pour acheter un portefeuille diversifié de titres.,Fon komun de plasman ga envestisör boobo nooru margu zama a ma portföy ka diversifiye tira day.
"Le risque et le rendement sont des concepts clés en finance ; généralement, un rendement plus élevé est associé à un risque plus élevé.","Risk da randeman ga ti konsep beeri finans ra; waati boobo, randeman ka bisa ga margu nda risk ka bisa."
L'analyse financière évalue la performance et la santé financière des entreprises.,Analiz finansiyer ga antrepriz performans da i lafiya finansiyer lasaabu.
"Les états financiers (bilan, compte de résultat, tableau des flux de trésorerie) fournissent des informations sur la situation financière d'une entreprise.","Eta finansiye (bilan, kont de rezilta, tablo de flü de trezoreri) ga information no antrepriz fo alhaali finansiyer boŋ."
"La comptabilité est le processus d'enregistrement, de classification et de synthèse des transactions financières.","Kontabilite ga ti tranzaksyon finansiye hantumyan, i fayfayyaŋ da i marguyan proses."
L'audit est l'examen indépendant des états financiers d'une entreprise.,Odit ga ti antrepriz fo eta finansiyey gunaa ka si care hima.
Le droit est un système de règles créées et appliquées par des institutions sociales ou gouvernementales pour réguler le comportement.,Drwa ga ti fonda sistem ka enstitüsyon sosyal wala gobernemantal ga te k'i daŋ goy ra zama i ma alhaali daabu.
Le droit civil régit les litiges entre particuliers ou organisations.,Drwa sivil ga wongu borey wala organizasyon game daabu.
Le droit pénal concerne les infractions considérées comme des atteintes à la société dans son ensemble.,Drwa penal ga enfraksyon ka i ga lasaabu sanda margu kul kar hima.
Un contrat est un accord juridiquement contraignant entre deux ou plusieurs parties.,Kontra ga ti akord ka ga haw fonda boŋ parti ihinka wala ka bisa game.
"La propriété est le droit de posséder, d'utiliser et de disposer de biens.","Propriyete ga ti alhakku ka boro ma hay du, k'a goyandi, k'a te mate ka a ga baa."
La responsabilité civile est l'obligation légale de réparer les dommages causés à autrui.,Responsabilite sivil ga ti farilla fonda wane ka boro ma laala ka i te boro fo se hanse.
Un procès est une procédure judiciaire visant à résoudre un litige.,Prose ga ti prosedür jidisiyer ka muraado ga ti ka wongu fo fondey cebe.
Un avocat représente et conseille ses clients en matière juridique.,Avoka ga nga kliyan cabe k'i saaware hay jidisiyer ra.
Un juge préside les procès et prend des décisions judiciaires.,"Jij ga prosey daabu, a ga anniya jidisiyer te."
Un jury est un groupe de citoyens qui écoutent les preuves et rendent un verdict dans certains procès.,"Jiri ga ti sitwayen margu ka ga seeda maa, i ga verdik te prose fooyaŋ ra."
La présomption d'innocence signifie qu'un accusé est considéré comme innocent jusqu'à ce que sa culpabilité soit prouvée.,"Prezonpsyon d'inosans ga konno ka boro ka i ga cee, i g'a lasaabu sanda a sinda taali hala i ma nga taalo tabatandi."
"Le journalisme est la collecte, la vérification, la présentation et la diffusion d'informations sur les événements actuels.","Jurnalism ga ti information marguyan, i tabatandiyan, i cabeyan da i fayfayyaŋ hay ka ga te sohon boŋ."
"Les médias d'information comprennent les journaux, la télévision, la radio et les sites d'information en ligne.","Mediya d'enformasyon ra, jurnaaley, televizyon, radyo da sit d'enformasyon en liny go no."
L'objectivité est un idéal journalistique visant à présenter les informations de manière impartiale.,Objektivite ga ti miila jurnalistik ka muraado ga ti ka information cabe mate ka si care hima.
L'éthique journalistique guide la conduite professionnelle des journalistes.,Etik jurnalistik ga jurnalistey alhaali profesyonel candi.
La liberté de la presse est le droit de communiquer des informations et des opinions par le biais des médias sans censure gouvernementale.,Liberte de la pres ga ti alhakku ka boro ma information da miila cabe mediya gaa ka si gobernemant sansür.
Les fausses nouvelles (fake news) sont des informations délibérément trompeuses présentées comme des nouvelles.,Fos nuvel (fake news) ga ti information ka i ga fansi da anniya ka i cabe sanda nuvel.
La vérification des faits est le processus de contrôle de l'exactitude des informations.,Verifikasyon de fe ga ti information cimi gunaa proses.
Le reportage d'investigation implique des recherches approfondies pour découvrir des informations cachées ou confidentielles.,"Reportaj d'envestigasyon ra, reshersh kuuku go no zama i ma information ka tugu wala ka ti gundo bay."
L'éditorial exprime l'opinion du journal ou d'un rédacteur sur un sujet d'actualité.,Editorial ga jurnaal wala redaktör fo miila cabe hay ka ga te sohon boŋ.
"La caricature est un dessin humoristique ou satirique, souvent d'une personnalité publique.","Karikatür ga ti desin ka ga haaru wala ka ga cee, waati boobo boro publik fo wane."
Les médias sociaux sont des plateformes en ligne qui permettent aux utilisateurs de créer et de partager du contenu et de participer à des réseaux sociaux.,"Mediya sosiyal ga ti platfom en liny ka ga naŋ itilizatör ma konteni te k'a fay, i ma koto rezo sosiyal ra."
"L'influenceur est une personne ayant la capacité d'affecter les décisions d'achat d'autrui en raison de son autorité, de ses connaissances, de sa position ou de sa relation avec son public.","Enfliyanse ga ti boro ka gonda hinne ka a ma boro fooyaŋ dayyan anniya di nga otorite, a bayray, a pozisyon wala a alakaw nga jama banda do."
"Le marketing viral est une technique qui encourage les individus à transmettre un message marketing à d'autres, créant un potentiel de croissance exponentielle de l'exposition et de l'influence du message.","Marketing viral ga ti teknik ka ga borey taysandi i ma mesaaj marketing fo konda boro fooyaŋ se, ka ga dama te mesaajo gunaa da a goy beeriyaŋ eksponansiyel se."
L'analyse de données (Data Analytics) est le processus d'examen des ensembles de données afin de tirer des conclusions sur les informations qu'ils contiennent.,Analiz de donnée (Data Analytics) ga ti donnée margu gunaa proses zama i ma konklüzyon te information ka go i ra boŋ.
"Le Big Data fait référence à des ensembles de données extrêmement volumineux et complexes qui ne peuvent pas être facilement gérés, traités ou analysés avec les outils traditionnels.","Big Data ga donnée margu ka beeri gumo ka sandi cabe ka i si hin k'i daabu, k'i goyandi wala k'i analyse te da jinay adadi da farhã."
L'apprentissage automatique (Machine Learning) est un type d'intelligence artificielle qui permet aux systèmes d'apprendre à partir de données sans être explicitement programmés.,Aprantisaj otomatik (Machine Learning) ga ti entelijans artifisyel dumi fo ka ga naŋ sistem ma dondon donnée gaa ka si i program te da fahamandi.
"L'intelligence artificielle (IA) est la simulation des processus d'intelligence humaine par des machines, en particulier des systèmes informatiques.","Entelijans artifisyel (IA) ga ti boro entelijans proses himandiyan masin do, sankara sistem enformatik."
Un algorithme est un ensemble d'instructions étape par étape pour résoudre un problème ou accomplir une tâche.,Algoritm ga ti lordi ce boŋ ce margu problem fo fondey cebe wala goy fo teyan se.
La programmation informatique est le processus de conception et de création de programmes exécutables par ordinateur.,Programasyon enformatik ga ti program ka ordinatör ga hin ka te plan da i teyan proses.
Un langage de programmation est un langage formel utilisé pour donner des instructions à un ordinateur.,Langaj de programasyon ga ti sanni formel ka i ga goyandi zama i ma lordi no ordinatör se.
"Python, Java et C++ sont des exemples de langages de programmation populaires.","Python, Java da C++ ga ti langaj de programasyon ka bay misaaley."
Un système d'exploitation (OS) est un logiciel qui gère le matériel informatique et les ressources logicielles et fournit des services communs pour les programmes informatiques.,"Sistem d'eksplwatasyon (OS) ga ti lojisiyel ka ga materiyel enformatik da resurs lojisiyel daabu, a ga servis komun no program enformatik se."
"Windows, macOS et Linux sont des exemples de systèmes d'exploitation.","Windows, macOS da Linux ga ti sistem d'eksplwatasyon misaaley."
Une application (ou appli) est un programme informatique conçu pour effectuer une tâche spécifique.,Aplikasyon (wala apli) ga ti program enformatik ka i plan te zama a ma goy spesifik fo te.
Internet est un réseau mondial de réseaux informatiques interconnectés.,Internet ga ti rezo enformatik ka margu ndunnya kul ra ka haw care gaa.
"Le World Wide Web (WWW) est un système d'information où les documents et autres ressources web sont identifiés par des URL, reliés par des hyperliens et accessibles via Internet.","World Wide Web (WWW) ga ti sistem d'enformasyon ka doküman da resurs web fooyaŋ ga bay URL do, ka i haw care gaa iperliyen do, ka i ga du internet gaa."
Un navigateur web est un logiciel utilisé pour accéder et afficher des pages web.,Navigatör web ga ti lojisiyel ka i ga goyandi zama i ma paj web du k'i cabe.
Un moteur de recherche est un service web qui permet aux utilisateurs de rechercher du contenu sur le World Wide Web.,Motör de reshersh ga ti servis web ka ga naŋ itilizatör ma konteni gungun World Wide Web boŋ.
Le courrier électronique (e-mail) est une méthode d'échange de messages numériques entre personnes utilisant des appareils électroniques.,Kurye elektronik (e-mail) ga ti metod mesaaj nimérik barmay borey game ka ga aparey elektronik goyandi.
"Le cloud computing est la fourniture de services informatiques – y compris serveurs, stockage, bases de données, réseaux, logiciels, analyses et intelligence – via Internet (""le cloud"").","Klaod konputing ga ti servis enformatik nooyan – ka server, stokaj, baz de donnée, rezo, lojisiyel, analiz da entelijans go ra – internet gaa (""le cloud"")."
"La cybersécurité est la pratique consistant à protéger les systèmes, les réseaux et les programmes contre les attaques numériques.","Saybersekirite ga ti sistem, rezo da program gaayumi goy kar nimérik se."
"Un virus informatique est un type de logiciel malveillant qui, lorsqu'il est exécuté, se réplique en modifiant d'autres programmes informatiques et en insérant son propre code.","Viris enformatik ga ti lojisiyel laalo dumi fo ka, waati ka a ga te, ga nga boŋ te boobo program enformatik fooyaŋ barmay do da nga kod daŋyan."
Un pare-feu est un système de sécurité réseau qui surveille et contrôle le trafic réseau entrant et sortant en fonction de règles de sécurité prédéterminées.,Par-fö ga ti sistem sekirite rezo ka ga trafik rezo ka ga furo da ka ga fatta guna k'a daabu fonda sekirite ka i daŋ jina boŋ.
"Le cryptage est le processus de conversion des informations ou des données en un code, en particulier pour empêcher tout accès non autorisé.","Kriptaj ga ti information wala donnée barmayan proses ka te kod, sankara zama i ma furo ka si yadda gaay."
Un mot de passe est un mot ou une chaîne de caractères secret utilisé pour l'authentification de l'utilisateur afin de prouver son identité ou d'approuver l'accès à une ressource.,Modpas ga ti sanni wala harfu margu gundo ka i ga goyandi itilizatör otantifikasiyon se zama a ma nga alhaali tabatandi wala ka yadda furo resurs fo gaa.
L'authentification à deux facteurs (2FA) ajoute une couche de sécurité supplémentaire en exigeant une deuxième forme d'identification.,Otantifikasiyon a dö faktör (2FA) ga sekirite kush fo tonton ka i ga identifikasiyon dumi ihinkanta laamiya.
"La biométrie utilise des caractéristiques physiques ou comportementales uniques (empreintes digitales, reconnaissance faciale) pour l'identification.","Biyometri ga alhaali fizik wala alhaali folokantey (kambe kambe, mo guna bayyan) goyandi identifikasiyon se."
La réalité virtuelle (VR) est une expérience simulée qui peut être similaire ou complètement différente du monde réel.,Realite virtüel (VR) ga ti esperiyans ka i himandi ka ga hin ka hima ndunnya cimi wala k'a barmay kul.
La réalité augmentée (AR) superpose des informations générées par ordinateur à la vue du monde réel de l'utilisateur.,Realite ogmante (AR) ga information ka ordinatör te daŋ itilizatör ndunnya cimi gunaa boŋ.
"L'Internet des objets (IoT) fait référence au réseau d'appareils physiques, de véhicules, d'appareils ménagers et d'autres éléments intégrés à l'électronique, aux logiciels, aux capteurs, aux actionneurs et à la connectivité qui permet à ces objets de se connecter et d'échanger des données.","Internet de obje (IoT) ga aparey fizik, vehikil, fu aparey da hay fooyaŋ ka i daŋ elektronik, lojisiyel, kaptör, aksyonör da konektivite ra rezo cabe ka ga naŋ objey din ma haw care gaa, i ma donnée barmay."
"Une ville intelligente (Smart City) utilise les technologies de l'information et de la communication (TIC) pour améliorer l'efficacité opérationnelle, partager des informations avec le public et améliorer la qualité des services gouvernementaux et le bien-être des citoyens.","Vil entelijant (Smart City) ga teknoloji de l'enformasyon da de la komunikasyon (TIC) goyandi zama a ma efikasite operasyonel taysandi, a ma information fay da jama, a ma gobernemant servis kalite da sitwayen byen-etr taysandi."
"Les drones, ou véhicules aériens sans pilote (UAV), sont des aéronefs sans pilote humain à bord.","Dron, wala vehikil aeriyen san pilot (UAV), ga ti aeronef ka sinda boro pilot a ra."
"L'impression 3D, ou fabrication additive, est le processus de création d'un objet tridimensionnel en déposant des couches successives de matériau.","Enpresyon 3D, wala fabrikasyon aditiv, ga ti obje tridimansyonel teyan proses materiyo kush boŋ kush daŋyan do."
"La robotique est un domaine interdisciplinaire qui intègre l'informatique et l'ingénierie pour concevoir, construire, faire fonctionner et utiliser des robots.","Robotik ga ti nangu enterdisipliner ka ga enformatik da enjeniyeri margu zama a ma robo plan te, k'i cina, k'i te i ma goy, k'i goyandi."
Un robot est une machine – en particulier une machine programmable par un ordinateur – capable d'effectuer automatiquement une série complexe d'actions.,Robo ga ti masin – sankara masin ka ordinatör ga hin k'a program te – ka ga hin ka goy sandi margu te otomatikman.
"La nanotechnologie est la manipulation de la matière à une échelle atomique, moléculaire et supramoléculaire.","Nanoteknoloji ga ti materiyo goyandiyaŋ atome, molekül da sipramoleküler lasaabu boŋ."
Les nanomatériaux sont des matériaux dont au moins une dimension externe se situe dans la plage de taille de 1 à 100 nanomètres.,Nanomateriyo ga ti materiyo ka i dimensyon ka go banda fo kayna ga goro 1 hala 100 nanometr lasaabu boŋ.
La biotechnologie est l'utilisation de systèmes vivants et d'organismes pour développer ou fabriquer des produits.,Biyoteknoloji ga ti sistem fundikooniyaŋ da alman goyandiyaŋ zama i ma hayey te wala k'i fabrike.
L'ingénierie génétique est la modification directe du génome d'un organisme à l'aide de la biotechnologie.,Enjeniyeri jenetik ga ti alman fo jenom barmayan cimi biyoteknoloji do.
Les organismes génétiquement modifiés (OGM) sont des organismes dont le matériel génétique a été modifié à l'aide de techniques d'ingénierie génétique.,Alman jenetikman modifiye (OGM) ga ti alman ka i na ngey materiyel jenetik barmay teknik enjeniyeri jenetik do.
Le clonage est le processus de production d'individus génétiquement identiques.,Klonaj ga ti boro ka hima care jenetikman teyan proses.
Les cellules souches sont des cellules indifférenciées qui peuvent se différencier en types de cellules spécialisées et se diviser pour produire davantage de cellules souches.,"Selil sush ga ti selil ka si fay ka ga hin ka fay ka te selil dumi spesiyalize, i ma fay ka selil sush boobo te."
La thérapie génique est une technique expérimentale qui utilise les gènes pour traiter ou prévenir les maladies.,Terapi jenik ga ti teknik eksperimental ka ga jen goyandi zama a ma cutey yayandi wala k'i gaay.
La bio-informatique est un domaine interdisciplinaire qui développe des méthodes et des outils logiciels pour comprendre les données biologiques.,Biyo-enformatik ga ti nangu enterdisipliner ka ga metod da jinay lojisiyel te zama i ma donnée biyolojik faham.
"La génomique est un domaine interdisciplinaire de la biologie qui se concentre sur la structure, la fonction, l'évolution, la cartographie et l'édition des génomes.","Jenomik ga ti nangu enterdisipliner biyoloji ra ka ga laakal daŋ jenom alhaali, i goy, i evolüsyon, i kartografi da i edisyon boŋ."
La protéomique est l'étude à grande échelle des protéines.,Proteyomik ga ti protein dondonyaŋ beeri.
"La métabolomique est l'étude scientifique des processus chimiques impliquant les métabolites, les petits substrats moléculaires, les intermédiaires et les produits du métabolisme.","Metabolomik ga ti proses shimik dondonyaŋ syantifik ka metabolit, sibstra moleküler kayna, entermediyer da metabolizm hayey go ra."
L'écologie est l'étude scientifique des interactions entre les organismes et leur environnement.,Ekoloji ga ti interaksyon alman da ngey nangu game dondonyaŋ syantifik.
"Un écosystème est une communauté d'organismes vivants en conjonction avec les composants non vivants de leur environnement, interagissant comme un système.","Ekosistem ga ti alman fundikooniyaŋ kominote ngey nangu hay ka si fundi banda, ka ga interaksyon te sanda sistem."
La biodiversité est la variété et la variabilité de la vie sur Terre.,Biyodiversite ga ti fundi dumiyaŋ da a barmayyaŋ Ndunnya boŋ.
"La conservation est la protection, la préservation, la gestion ou la restauration des habitats naturels et des communautés écologiques.","Konservasyon ga ti nangu naturelley da kominote ekolojik gaayumi, i gaayumi, i daabu wala i te koyne."
Le changement climatique fait référence aux changements à long terme des températures et des régimes météorologiques typiques.,Shanjman klimatik ga tanperatir da haw alhaali adadi barmay kuuku cabe.
Le réchauffement climatique est l'augmentation à long terme de la température moyenne du système climatique de la Terre.,Reshofman klimatik ga ti Ndunnya sistem klimatik tanperatir mwayen tontona kuuku.
Les gaz à effet de serre (GES) sont des gaz qui piègent la chaleur dans l'atmosphère.,Gaz a efe de ser (GES) ga ti gaz ka ga gullum di atmosfer ra.
Le dioxyde de carbone (CO2) est un gaz à effet de serre majeur.,Diyoksid de karbon (CO2) ga ti gaz a efe de ser beeri.
Les énergies renouvelables sont des sources d'énergie qui sont naturellement reconstituées sur une échelle de temps humaine.,Enerji ka i ga te koyne ga ti enerji funa ka ga te koyne boro waati lasaabu boŋ.
L'énergie solaire est l'énergie rayonnante émise par le soleil.,Enerji soler ga ti enerji kaari ka wayna ga naŋ.
L'énergie éolienne utilise le vent pour produire de l'électricité.,Enerji eoliyen ga haw goyandi zama a ma elektrisite te.
L'énergie hydroélectrique est produite à partir de la force de l'eau en mouvement.,"Enerji hidroelektrik, hari ka ga dira gaabo no i g'a te d'a."
L'énergie géothermique est la chaleur de l'intérieur de la Terre.,Enerji jeotermik ga ti Ndunnya cire gullum.
La biomasse est une matière organique d'origine végétale ou animale utilisée comme source d'énergie.,Biyomas ga ti mater organika tuuri wala alman funa ka i ga goyandi sanda enerji funa.
Le développement durable est un développement qui répond aux besoins du présent sans compromettre la capacité des générations futures à répondre aux leurs.,Developpeman dirab ga ti developpeman ka ga hunkuna laamey to ka si suba izey hinne ka i ma ngey wane to laala.
L'économie circulaire est un modèle économique visant à éliminer les déchets et à maintenir l'utilisation continue des ressources.,"Ekonomi sirküler ga ti model ekonomik ka muraado ga ti ka fumbu tuusu, a ma resurs goyandiyaŋ ka ga gay gaay."
"L'agriculture durable est une agriculture qui répond aux besoins alimentaires et textiles actuels et futurs de la société tout en garantissant la rentabilité, la santé environnementale et l'équité sociale et économique.","Agrikültür dirab ga ti agrikültür ka ga margu ŋwaari da fari laamey ka go sohon da ka ga te suba to, ka ga rentabilite, environnemaŋ lafiya da ekite sosyal da ekonomik tabatandi."
"La permaculture est une philosophie de travail avec, plutôt que contre la nature ; d'observation prolongée et réfléchie plutôt que de travail prolongé et irréfléchi ; et de regarder les plantes et les animaux dans toutes leurs fonctions, plutôt que de traiter n'importe quelle zone comme un système à produit unique.","Permakültür ga ti filosofi ka ga ne boro ma goy natuur banda, manti k'a gaay; guna kuuku ka gonda miila, manti goy kuuku ka sinda miila; da tuuri da alman guna i goy kul ra, manti ka nangu fo kul te sanda sistem ka hay foloko no ga fun."
L'agroécologie est l'étude des processus écologiques appliqués aux systèmes de production agricole.,Agroekoloji ga ti proses ekolojik dondonyaŋ ka i daŋ sistem prodüksyon agrikol boŋ.
"La sylviculture est la science et l'art de cultiver, d'entretenir et de gérer les forêts.","Silvikültür ga ti science da art saaji beeri tayyan, i gaayumi da i daabu."
"La gestion des ressources en eau est la planification, le développement, la distribution et la gestion de l'utilisation optimale des ressources en eau.","Jeston de resurs an o ga ti resurs hari goyandiyaŋ ka bisa kul plan teyan, i teyan, i fayfayyaŋ da i daabu."
La désalinisation est le processus d'élimination des sels minéraux de l'eau de mer.,Desalinizasyon ga ti ciiri mineral tuusuyaŋ proses teeko hari ra.
"La récolte de l'eau de pluie est la collecte et le stockage de l'eau de pluie pour une réutilisation sur place, plutôt que de la laisser s'écouler.","Hari marguyan ga ti hari marguyan da a gaayumi zama i m'a goyandi koyne nangu ra, manti ka i m'a naŋ a ma zuru."
L'assainissement est la fourniture d'installations et de services pour l'élimination sûre de l'urine et des excréments humains.,Asenisman ga ti enstalasyon da servis nooyan boro ciray da a bonday tuusuyaŋ lafiya se.
"La gestion des déchets solides est la collecte, le traitement et l'élimination des matériaux solides mis au rebut.","Jeston de deshe solid ga ti materiyo solid ka i catu marguyan, i goyandiyan da i tuusuyaŋ."
Le recyclage est le processus de conversion des déchets en nouveaux matériaux et objets.,Resiklaj ga ti fumbu barmayan proses ka te materiyo da obje taji.
Le compostage est un processus naturel qui transforme la matière organique en un amendement de sol riche en nutriments appelé compost.,Konpostaj ga ti proses naturel ka ga mater organika barmay ka te laabu taysandi ka gonda nitriman boobo ka i ga ce konpost.
Une décharge est un site d'élimination des déchets par enfouissement.,Desharj ga ti fumbu tuusuyaŋ nangu tuguyan do.
L'incinération est un traitement des déchets qui implique la combustion de substances organiques contenues dans les déchets.,Ensinerasyon ga ti fumbu goyandiyan ka hay organika ka go fumbey ra tonyaŋ go ra.
